Phrase	Transcription	Translation	Notes
猜	cāi	zgadywać
一定	yídìng	na pewno; z pewnością
聪明	cōngming	mądry
希望	xīwàng	mieć nadzieję; nadzieja
流利	liúlì	biegły
公司	gōngsī	przedsiębiorstwo
派	pài	posłać
先	xiān	najpierw
然后	ránhòu	następnie
发音	fāyīn	wymowa; wymawiać
关照	guānzhào	zatroszczyć się; zaopiekować się
同屋	tóngwū	współlokator; mieszkać w tym samym pokoju
结束	jiéshù	zakończyć
一边	yìbiān	jednocześnie
京剧	jīngjù	opera Pekińska
从来	cónglái	zawsze, bez przerwy
段	duàn	(klasyfikator to tac)
华价	huáqiáo	emigrant chiński; Chińczyk mieszkający za granicą
职员	zhíyuán	urzędnik
特别	tèbié	szczególnie; szczególny; specjalny
为了	wèile	aby; żeby
谈话	tán huà	rozmawiać
韩国	Hánguó	Republika Korei
法国	Fǎguó	Francja
日本	Rìběn	Japonia
印度尼西亚	Yìndùníxīyà	Indonezja
美国	Měiguó	Stany Zjednoczone
哦		
姑娘		
暑假		
到时候		
情况		
口语		
练习		
弹吉他		
专心		
家务		
减肥		
参观		
