Phrase	Transcription	Translation	Notes
ثَوْرٌ	ṯawr	byk
بَقَرَةٌ	baqara	krowa
فَرَسٌ	faras	koń
حِمَارٌ	ḥimār	osioł
حَقْلٌ	ḥaql	pole
بَلَدٌ	balad	kraj
كُلُّهُمْ	kulluhum	oni wszyscy
كُلُّكُمْ	kullukum	wy wszyscy
كُلُّنَا	kullunā	my wszyscy
اَنْ يَفْعَلَ	an yafʿala	robić
لِيَفْعَلَ	li-yafʿala	żeby robić
هُمْ يَقْرَؤُونَ	hum yaqraʾūna	oni czytają
هُنَّ يَقْرَأْنَ	hunna yaqraʾna	one czytają
اَنْتُمْ تَقْرَؤُونَ	antum taqraʾūna	wy czytajecie
اَنْتُنَّ تَقْرَأْنَ	antunna taqraʾna	wy czytajecie	r.ż.
نَحْنُ نَقْرَأُ	naḥnu naqraʾu	my czytamy
