Phrase	Transcription	Translation	Notes
عُصْفورٌ		wróbel
قَفَصٌ		klatka
قَوْلٌ		słowa; mowa; wypowiedź
شَىْءٌ		rzecz; przedmiot
هَوَاءٌ		powietrze
حُرِّيَّةٌ		wolność
بُسْتَانِىٌّ		ogrodnik
وَقَعَ الطَّيْرُ عَلَى غُصْنٍ		ptak usiadł na gałązce
هُوَ لا يَفْهَمُ شَيْئًا		on niczego nie rozumie
أَمْسَكَ		trzymał; łapał
اَطْلَقَ		wypuścił; uwolnił
غَرَّدَ		ćwierkał
أَخْبَرَ		powiedział
أَجَابَ		odpowiedział
وَحْشٌ		zwierzę
سَقَطَ		upadł
صَاحَ		krzyknął
حَبَسَ		uwięził
جَاءَ		przyszedł
أَحَدٌ		ktoś; nikt
هَلْ جَاءَ اَحَدٌ		czy ktoś przyszedł?
لَمْ يَجِئْ اَحَدٌ		nikt nie przyszedł
كُتُبِىٌّ		sprzedawca książek
يَوْمًا		pewnego razu
