Phrase	Transcription	Translation	Notes
جُنْدِىٌّ		żołnierz
جَرَسٌ		dzwon; dzwonek
جُنْدٌ		wojsko
وَطَنٌ		ojczyzna
شَعْبٌ		naród
جَيْشٌ		armia
بَطَلٌ		bohater
الْجَيْشُ الْبَطَلِ		bohaterska armia
صَفٌّ		szereg
حَوْشٌ		podwórze
اِسْلاَمِىٌّ		islamski
رَعَاكَ اللَّهُ		niech Bóg ma cię w opiece
دَافَعَ عَنْ...ِ		bronił
دَافَعَ عَنْ دِينِهِ		obronił swoją religię
وَقَفَ		stanął
وَقَفَ فِى صَفٍّ		stanął w szeregu
دَقَّ		pukał; stukał; łomotał
دَقَّ الْجَرَسُ		zadźwięczał dzwonek
يَحْيَى!ِ		niech żyje!
يَحْيَى الإِسْلاَمُ!ِ		Niech żyje Islam!
دَوْلَةٌ		państwo
تَحْيَى دَوْلَةُ الإِسْلاَمِ		Niech żyje państwo islamskie!
عَلَيْنَا اَنْ نَذْهَبَ		musimy iść
عَلَيْنَا اَنْ...ِ		powinniśmy ...; musimy ...
