Phrase	Transcription	Translation	Notes
听说	tīngshuō	it is said that; to hear told	
菜	cài	dish (type of food); vegetables	
好吃	hǎochī	tasty; delicious	
服务员	fúwùyuán	waiter; waitress; server	
事	shì	matter; thing; item; work; affair	
菜单	càidān	menu	
点	diǎn	to order (dishes)	
鱼香肉丝	yúxiāngròusī	fish-favored shredded pork	
麻婆豆腐	mápódòufu	stir-fried beancurd in hot sauce	
碗	wǎn	bowl; cup	
辣	là	hot (spicy); pungent	
汤	tāng	(surname); soup	
饮料	yǐnliào	beverage	
壶	hú	pot; (a measure word)	
稍	shāo	somewhat; a little	
觉得	juéde	to think; to feel	
不过	búguò	but; only; merely; no more than; however; only	
油	yóu	oil; sly	
最	zuì	(the) most; -est	
呀	ya	(final part.)	
咸	xián	salty	
苦	kǔ	bitter; intensely; miserable; painful	
就是	jiùshi	but; (emphasizes that something is precisely or exactly what is stated); precisely; exactly; even; if; just like; in the same way as	
小姐	xiǎojie	young lady; miss; waitress	
结帐	jiézhàng	to settle accounts	
喜欢	xǐhuan	to like; to be fond of	
结账	jiézhàng	to get the check	
餐巾纸	cānjīnzhǐ	napkin paper	
付	fù	pay	
请客	qǐngkè	treat; give a dinner party; entertain guests; invite to dinner	
以后	yǐhòu	after; later; afterwards; following; later on; in the future	
唱	chàng	sing; to call loudly; to chant	
卡拉	kǎlā	(ka3la1'ou1kei4) karaoke	
有意思	yǒuyìsi	interesting	
汉字	hànzì	Chinese character, kanji	
告诉	gàosu	to tell; to inform; to let know	
问题	wèntí	problem; issue; topic	
问	wèn	to ask	
难	nán	difficult (to...); problem; difficulty; difficult; not good	
