Phrase	Transcription	Translation	Notes
想	xiǎng	to think; to believe; to suppose; to wish; to want; to miss	
随身听	suíshēntīng	walkman	
给	gěi	to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle)	
左右	zuǒyòu	about; approximately; left and right; around	
牌子	páizi	sign; trademark	
质量	zhìliàng	quality; mass (in physics)	
又	yòu	(once) again; also; both... and...; again	
价钱	jiàqian	price	
便宜	piányi	inexpensive	
样子	yàngzi	appearance;manner; air; looks; aspect	
好看	hǎokàn	good-looking	
双	shuāng	two; double; pair; both	
号	hào	size	
可以	kěyǐ	can; may; possible; able to	
有点儿	yǒudiǎnr	(adv) slightly; little; somewhat	
一点儿	yìdiǎnr	a bit; a little	
合适	héshì	suitable; fit; decent	
件	jiàn	a measure word for thing, clothes, item	
白	bái	white; snowy; empty; blank; bright; clear; plain; pure; gratuitous	
真丝	zhēnsī	real silk	
衬衣	chènyī	shirt	
颜色	yánsè	color	
只	zhǐ	only; merely; just; but	
种	zhǒng	kind; type; race; breed; seed; species (taxonomy)	
用	yòng	to use	
算	suàn	regard as; to figure; to calculate; to compute	
条	tiáo	measure word for long, thin things (i.e. ribbon, river, etc.); a strip; item; article	
裤子	kùzi	trousers; pants	
乱	luàn	in confusion; disorderly	
老	lǎo	(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity); old (of people)	
带	dài	to take	
雨伞	yǔsǎn	umbrella	
试	shì	to test; to try; experiment; examination; test	
