Phrase	Transcription	Translation	Notes
喂	wèi	(interjection) hello; to feed (someone or some animal); hey; telephone greeting	
错	cuò	mistake; error; blunder; fault; cross; uneven; wrong	
对	duì	correct (answer); to answer; to reply; to direct (towards sth); right; couple; pair; to be opposite; to oppose; to face; for	
一直	yìzhí	until	
呆	dāi	to stay	
回来	huílai	return; come back	
取	qǔ	to take; to get; to choose; to fetch	
一就	yíjiù	as soon as	
完	wán	to finish; to be over; whole; complete; entire	
麻烦	máfan	trouble; troublesome	
转告	zhuǎngào	pass on; communicate; transmit	
票	piào	bank note; ticket	
清楚	qīngchu	clear; clearly understood; distinct	
看见	kànjiàn	to see; to catch sight of	
急	jí	urgent; hurried; worried	
听见	tīngjiàn	hear	
手机	shǒujī	cellphone	
发	fā	to send out; to show (one's feeling); to issue; to develop	
短信	duǎnxìn	SMS message	
作业	zuòyè	school assignment; work; task; operation; to operate	
修	xiū	to repair; to build; to decorate; to embellish; to study; to write; to cultivate	
手表	shǒubiǎo	wrist watch	
接	jiē	to meet; to catch; to extend; to connect; to receive; to join	
停	tíng	to stop; to halt	
开始	kāishǐ	begin; beginning; start; initial	
讲	jiǎng	to explain; to make clear	
懂	dǒng	to understand; to know	
叫	jiào	to call; to greet	
记	jì	to remember; to note; mark; sign; to record	
