Phrase	Transcription	Translation	Notes
走	zǒu	to walk; to go; to move	
一直	yìzhí	straight; continuously; always; from the beginning of ... up to ...; all along	
往	wǎng	to go (in a direction); past; previous; towards	
到	dào	to (a place); until (a time); up to; to go; to arrive	
字	zì	letter; symbol; character; word	
路口	lùkǒu	crossing; intersection (of roads)	
拐	guǎi	kidnap; to turn	
米	mǐ	(measure word) meter; rice	
公里	gōnglǐ	kilometer; axiom (logic)	
车	chē	car; a vehicle; machine; to shape with a lathe	
过	guò	(experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; (surname); excessively; too-	
马路	mǎlù	street; road	
先	xiān	early; prior; former; in advance; first	
路	lù	(surname); road; path; way; number (for bus)	
公共汽车	gōnggòngqìchē	bus	
然后	ránhòu	after; then (afterwards); after that; afterwards	
地铁	dìtiě	subway; metro	
应该	yīnggāi	ought to; should; must	
或者	huòzhě	or (in statements); possibly; maybe; perhaps	
骑	qí	to ride (an animal or bike); to sit astride	
技术	jìshù	technology; technique; skill	
还是	háishi	expresses preference for an alternative	
周末	zhōumò	weekend	
火车	huǒchē	train	
飞机	fēijī	airplane	
快	kuài	fast; quick; swift	
可是	kěshì	but; however	
宽	kuān	lenient; wide; broad	
重	zhòng	heavy; serious	
出租汽车	chūzūqìchē	taxi; cab	
送	sòng	to deliver; to carry; to give (as a present); to present (with); to see off; to send	
礼物	lǐwù	gift; present	
花	huā	flower; blossom; to spend (money, time); fancy pattern	
舒服	shūfu	comfortable	
