Phrase	Transcription	Translation	Notes
//STSC Threshold/入门第十七课
逛[逛]	guang4	to stroll; to visit
裙子[裙子]	qun2zi5	skirt
顶[頂]	ding3	 a measure word (use with "hat"); go against; most; peak; top; to replace; to substitute
帽子[帽子]	mao4zi5	hat; cap
嗬[嗬]	he1	ah
这么[這麼]	zhe4 me5	so; so much; this much; this way; like this
陪[陪]	pei2	to accompany; to keep sb. company
风景[風景]	feng1jing3	scenery; landscape
特别[特別]	te4bie2	especially; special; particular; unusual
美[美]	mei3	America; beautiful
烤鸭[烤鴨]	kao3ya1	roast duck
只[只]	zhi1	(a measure word, for birds and some animals, etc.); single; only
病[病]	bing4	ailment; sickness; illness; disease; fall ill; sick; defect
抽时间[抽時間]	chou1 shi2 jian1	to find time to do
时间[時間]	shi2jian1	time; period
看[看]	kan4	to call on; to visit; to see
已经[已經]	yi3jing5	already
以前[以前]	yi3qian2	before; formerly; previous
上[上]	shang4	on; on top; upon; first (of two parts); previous or last (week, etc.); upper; higher; above; previous; to climb; to go into; above; to go up
洗[洗]	xi3	to wash; to bathe
衣服[衣服]	yi1fu5	clothes
枝[枝]	zhi1	branch; (a measure word for flowers with stems intact)
洗澡[洗澡]	xi3 zao3	bathe; to take a shower
玩[玩]	wan2	to play
上海[上海]	shang4hai3	Shanghai
