Phrase	Transcription	Translation	Notes
结束	jiéshù	termination; to finish; to end; to conclude; to close	
名胜	míngshèng	a place famous for its scenery or historical relics; scenic spot	
古迹	gǔjī	places of historic interest; historical sites	
比	bǐ	(particle used for comparison and "-er than"); to compare; to contrast; to gesture (with hands); ratio	
建议	jiànyì	to propose; to suggest; to recommend; proposal; suggestion; recommendation	
还	hái	also; in addition; more; still; else; still; yet; (not) yet	
凉快	liángkuai	nice and cold; pleasantly cool	
预报	yùbào	forecast	
方便	fāngbiàn	convenient	
最好	zuìhǎo	best; (you) had better (do what we suggest)	
伴	bàn	companion	
互相	hùxiāng	each other; mutually; mutual	
帮助	bāngzhù	assistance; aid; to help; to assist	
壮	zhuàng	to strengthen; strong; robust	
一样	yíyàng	same; like; equal to; the same as; just like	
希望	xīwàng	to wish for; to desire; to hope	
同意	tóngyì	to agree; to consent; to approve	
办	bàn	to do; to manage; to handle; to go about; to run; to set up; to deal with	
国外	guówài	abroad; external (affairs); overseas; foreign	
生活	shēnghuó	life; activity	
国内	guónèi	domestic; internal (to a country); civil	
方面	fāngmiàn	respect; aspect; field; side	
确实	quèshí	indeed; really; reliable; real; true	
对	duì	for; with regard to	
感兴趣	gǎnxìngqù	be interested	
依我看	yīwǒkàn	in my opinion	
河	hé	river	
深	shēn	deep; profound	
容易	róngyì	easy; likely; liable (to)	
千	qiān	thousand	
饭店	fàndiàn	restaurant; hotel	
商量	shāngliang	consult; discuss	
船	chuán	a boat; vessel; ship	
