Phrase	Transcription	Translation	Notes
家	jiā	(measure word for shops, stores); -ist; -er; -ian; home; family; a person engaged in a certain art or profession	
正在	zhèngzài	in the process of (doing something or happening); while (doing)	
减价	jiǎnjià	to reduce the prices	
顾客	gùkè	client; customer	
少	shǎo	few; little; lack	
有的	yǒude	(there are) some (who are...); some (exist)	
挑	tiāo	carry on a pole; choose	
排队	páiduì	to line up	
交	jiāo	to pay (money)； to deliver; to turn over; to make friends; to intersect (lines)	
咦	yí	expression of surprise	
先生	xiānsheng	sir; mister; teacher; (title of respect)	
找	zhǎo	to try to find; to look for; to call on (sb); to find; to seek; to return; to look for	
刚才	gāngcái	just now; (just) a moment ago	
打	dǎ	beat; strike; break; mix up; build; fight; fetch; make; tie up; issue; shoot; calculate; since; from	
招聘	zhāopìn	recruitment; to invite applications for a job	
打算	dǎsuan	to plan; to intend; to calculate; plan; intention; calculation	
应聘	yìngpìn	be employed by; to employ	
外边	wàibian	(n) outside; (n) exterior  surface; (n) place other than one's home town	
下雨	xiàyǔ	to rain; rainy	
雨	yǔ	rain	
一边	yìbiān	while	
聊天儿	liáotiāner	(v) chat	
大家	dàjiā	authority; everyone	
明年	míngnián	next year	
可能	kěnéng	might (happen); possible; probable; possibility; probability	
旅行	lǚxíng	travel	
回答	huídá	reply; answer	
猜	cāi	to guess	
擦	cā	to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish	
黑板	hēibǎn	blackboard	
音乐	yīnyuè	music	
歌	gē	song	
信	xìn	letter; true; to believe; sign; evidence	
邮票	yóupiào	(postage) stamp	
寄	jì	lodge at; to mail; to send; to entrust; to depend	
