Phrase	Translation	Notes
spielen	grać; bawić się	vi, vt
gehen	iść	vi
sich entschuldigen	przepraszać
ändern	zmieniać	vt
lernen	uczyć się	vt
haben	mieć	vt
sich interessieren	interesować się
informieren	powiadamiać; informować	vt
suchen	szukać	vt
kontrollieren	kontrolować	vt
stehlen	kraść	vt
schreien	krzyczeć	vi
schwimmen gehen	kąpać się; pływać
fliegen	lecieć	vi
fangen	łapać	vt
brechen	łamać	vt
lieben	kochać	vt
beten	modlić się	vi
schweigen	milczeć	vi
können	móc	v mod
beobachten	obserwować	vt
hoffen	mieć nadzieję	vi
bestrafen ukarać	vt
bestehen	nalegać	vi
finden	znajdować	vt
beginnen	zaczynać	vt
unterschätzen	nie doceniać	vt
gefallen	podobać się	vi
zu Mittag essen	jeść obiad
versprechen	obiecywać	vt
täuschen	oszukiwać	vt
besprechen	omawiać	vt
vereinigen	jednoczyć	vt
erklären	objaśniać	vt
bedeuten	oznaczać	vt
befreien	wyzwalać	vt
kränken	obrażać	vt
stoppen	zatrzymywać się	vt
antworten	odpowiadać	vi
richtig raten	odgadywać	vt
sich weigern	odmawiać
öffnen	otwierać	vt
abschicken	wysyłać	vt
jagen	polować	vi
sich irren	mylić się
