Phrase	Translation	Notes
die Ziffer	cyfra	f
die Zahl	liczba	f
das Zahlwort	liczebnik	n
das Minus	minus	n
das Plus	plus	n
die Formel	wzór	f
die Berechnung	obliczenia	f
zählen	liczyć	vt
berechnen	podliczać	vt
vergleichen	porównywać	vt
Wie viel?	ile?
Wie viele?	ilu? ile?
die Summe	suma	f
das Ergebnis	wynik; rezultat	n
das Rest	reszta	m
einige	kilka
wenig …	niewiele; mało
das Übrige	pozostałe	n
anderthalb	półtora
das Dutzend	tuzin	n
entzwei	na pół
zu gleichen Teilen	po równo
die Hälfte	połowa	f
das Mal	raz	n
