Arabic	Transcription	Notes
{{c1::أَهْلًا وَسَهْلًا::Witaj}} {{c2::بِكِ::tobie}}.	{{c1::Ahlan wa sahlan}} {{c2::biki}}.	r.ż.
{{c1::أَهْلًا وَسَهْلًا::Witaj}} {{c2::بِكَ::tobie}}.	{{c1::Ahlan wa sahlan}} {{c2::bik}}.	r.m.
{{c1::أَهْلًا وَسَهْلًا::Witajcie}} {{c2::بِكُم::wam}}.	{{c1::Ahlan wa sahlan}} {{c2::bikum}}.	r.m.
{{c1::أَهْلًا::Cześć}} {{c2::بِكِ::tobie}}.	{{c1::Ahlan}} {{c2::biki}}.	r.ż.
{{c1::أَهْلًا::Cześć}} {{c2::بِكَ::tobie}}.	{{c1::Ahlan}} {{c2::bik}}.	r.m.
{{c1::أَهْلًا::Cześć}} {{c2::بِكُم::wam}}.	{{c1::Ahlan}} {{c2::bikum}}.	r.m.
{{c1::أَهْلًا::Cześć}}.	{{c1::Ahlan}}.
{{c1::أَهْلًا::Cześć}} مُحَمَّد.	{{c1::Ahlan}}, Muḥammad.
{{c1::أُهْلًا::Cześć}} زَيْنَب.	{{c1::Ahlan}}, Zaynab.
{{c1::كَيْفَ حَالُكَ::Jak się masz}}؟	{{c1::Kayfa ḥāluk}}?	r.m.
{{c1::كَيْفَ حَالُكِ::Jak się masz}}؟	{{c1::Kayfa ḥāluki}}?	r.ż.
{{c1::كَيْفَ حَالُكُم::Jak się macie}}؟	{{c1::Kayfa ḥālukum}}?	r.m.
{{c1::كَيْفَ الْحَال::Jak się masz}}؟	{{c1::Kayfa l-ḥāl}}?
{{c1::كَيْفَ الصحَة::Jak zdrowie}}؟	{{c1::Kayfa ṣ-ṣiḥa}}?
{{c1::كَيْفُ الْحَالُ::Jak się masz}} {{c2::يَا أَحْمَد::Ahmad}}؟	{{c1::Kayfa l-ḥāl}}, {{c2::yā Aḥmad}}?
{{c1::أنَا بِخَيرٍ::Mam się dobrze}} {{c2::شُكْرًا::dziękuję}}.	{{c1::Anā bi-ḫayrin}}, {{c2::šukran}}.
{{c1::أنَا بِخَيرٍ::Mam się dobrze}} {{c2::الْحَمدُلله::dzięki Bogu}}.	{{c1::Anā bi-ḫayrin}}, {{c2::al-ḥamdu li l-Lāh}}.
{{c1::لَا بَأس::Nieźle}}.	{{c1::Lā baʾs}}.
{{c1::مُمْتَاز::Doskonale}}.	 {{c1::Mumtāz}}.
{{c1::أنَا مُمْتَازَة::Mam się doskonale}}.	{{c1::Anā mumtāza}}.	r.ż.
{{c1::أنَا جَيد::Mam się świetnie}}.	{{c1::Anā jayyid}}.	r.m.
{{c1::أنَا جَيدَة::Mam się świetnie}}.	{{c1::Anā jayyida}}.	r.ż.
{{c1::أنَا جَيد::Mam się świetnie}} {{c2::الْحَمدُلله::dzięki Bogu}}.	{{c1::Anā jayyid}}, {{c2::al-ḥamdu li l-Lāh}}.	r.m.
{{c1::كُلُّ شَيءٍ::Wszystko}} {{c2::بِخَير::dobrze}}.	{{c1::Kullu šayyʾin}} {{c2::bi-ḫayr}}.
{{c1::كُلُّ شَيءٍ::Wszystko}} {{c2::جَيد::świetnie}}.	{{c1::Kullu šayyʾin}} {{c2::jayyid}}.
{{c1::كُلُّ شَيءٍ::Wszystko}} {{c2::عَلَى مَا يُرَام::w porządku}}.	{{c1::Kullu šayyʾin}} {{c2::ʿalā mā yurām}}.
{{c1::نَحْنُ جَيدُون::Mamy się świetnie}}.	{{c1::Naḥnu jayyidūn}}.
{{c1::نَحْنُ أَجْوَاد::Mamy się świetnie}}.	{{c1::Naḥnu ajwād}}.	l.mn. łamana
{{c1::نَحْنُ بِخَيرٍ::Mamy się dobrze}} {{c2::شُكْرًا::dziękuję}}.	{{c1::Naḥnu bi-ḫayrin}}, {{c2::šukran}}.
{{c1::نَحْنُ مُمْتَازُون::Mamy się doskonale}}.	{{c1::Naḥnu mumtāzūn}}.
{{c1::لَا بَأس::Nieźle}}.	{{c1::Lā baʾs}}.
{{c1::نَحْنُ بِخَيرٍ::Mamy się dobrze}} {{c2::الْحَمْدُلله::dzięki Bogu}}.	{{c1::Naḥnu bi-ḫayrin}} {{c2::al-ḥamdu li l-Lāh}}.
{{c1::كُلُّ شِيءٍ::Wszystko}} {{c2::جَيد::świetnie}}.	{{c1::Kullu šayyʾin}} {{c2::jayyid}}.
{{c1::كُلُّ شَيءٍ::Wszystko}} {{c2::بِخَير::dobrze}}.	{{c1::Kullu šayyʾin}} {{c2::bi-ḫayr}}.
{{c1::كُلُّ شَيءٍ::Wszystko}} {{c2::عَلَى مَايُرَام::w porządku}}.	{{c1::Kullu šayyʾin}} {{c2::ʿalā mā yurām}}.
{{c1::الْحَمْدُلله::Dzięki Bogu}}.	{{c1::Al-ḥamdu li l-Lāh}}.
{{c1::مَا اسْمُكَ::Jak się nazywasz}}؟	{{c1::Mā smuk}}?	r.m.
{{c1::اِسْمِي دَفِيدْ::Nazywam się David}}.	{{c1::Ismī Davīd}}.
{{c1::اِسْمِي دَاوُد::Nazywam się Daud}}.	{{c1::Ismī Dāwud}}.
{{c1::أنَا أحْمَد::Jestem Ahmad}}.	{{c1::Anā Aḥmad}}.
{{c1::مَا اسْمُكِ::Jak się nazywasz}}؟	{{c1::Mā smuki}}?	r.ż.
{{c1::مَا اسْمُكُم::Jak się nazywacie}}؟	{{c1::Mā smukum}}?	r.m.
