Phrase	Grammar	Transcription	Translation	Notes
Verzeihung			przepraszam; proszę o przebaczenie	
Platz nehmen			siadać; zajmować miejsce	
recht haben			mieć rację	
ein Stück Torte	NP		kawałek tortu	
einen Moment, bitte			chwileczkę, proszę	
Haben Sie ...?			Czy ma pan ...?	
mein Herr			proszę pana	
in Ordnung			w porządku	
Hunger haben	VP		być głodnym	
bestellen	V		zamawiać	
bestimmt			na pewno	
das Café	N		kawiarnia	
da			w takim razie; wtedy; tam	
doch			przecież	
das Eis	N		lody	
der Eiskaffee	N		kawa z lodami; kawa mrożona	
essen	V		jeść	
etwas			coś	
frei	Adj		wolny	
gleich			zaraz	
haben	V		mieć	
der Herr	N		pan	
der Hunger	N		głód	
der Kaffee	N		kawa	
die Karte	N		karta	
der Kellner	N		kelner	
mit			z	
der Mokka	N		mokka	
mögen	V		chcieć; mieć ochotę	
nehmen	V		brać	
die Nuß	N		orzech	
die Nußtorte	N		tort orzechowy	
der Ober	N		kelner	
das Obst	N		owoce	
der Obstsaft	N		sok owocowy	
die Obsttorte	N		tort owocowy	
die Ordnung	N		porządek	
die Sahne	N		śmietana	
die Sahnetorte	N		tort śmietankowy	
stark	Adj		mocny	
das Stück	N		kawałek	
der Tee	N		herbata	
der Tisch	N		stół	
die Torte	N		tort	
trinken	V		pić	
Verzeihung			przepraszam	
vielleicht			może	
wie			jak	
wünschen	V		życzyć (sobie)	
die Zeit	N		czas	
zweimal			dwa razy	
