Phrase	Translation	Notes
sıfır	zero
bir	jeden
iki	dwa
üç	trzy
dört	cztery
beş	pięć
altı	sześć
yedi	siedem
sekiz	osiem
dokuz	dziewięć
on	dziesięć
on bir	jedenaście
on iki	dwanaście
on üç	trzynaście
on dört	czternaście
on beş	piętnaście
on altı	szesnaście
on yedi	siedemnaście
on sekiz	osiemnaście
on dokuz	dziewiętnaście
yirmi	dwadzieścia
yirmi bir	dwadzieścia jeden
yirmi iki	dwadzieścia dwa
yirmi üç	dwadzieścia trzy
otuz	trzydzieści
otuz bir	trzydzieści jeden
otuz iki	trzydzieści dwa
otuz üç	trzydzieści trzy
kırk	czterdzieści
kırk bir	czterdzieści jeden
kırk iki	czterdzieści dwa
kırk üç	czterdzieści trzy
elli	pięćdziesiąt
elli bir	pięćdziesiąt jeden
elli iki	pięćdziesiąt dwa
elli üç	pięćdziesiąt trzy
altmış	sześćdziesiąt
altmış bir	sześćdziesiąt jeden
altmış iki	sześćdziesiąt dwa
altmış üç	sześćdziesiąt trzy
yetmiş	siedemdziesiąt
yetmiş bir	siedemdziesiąt jeden
yetmiş iki	siedemdziesiąt dwa
yetmiş üç	siedemdziesiąt trzy
seksen	osiemdziesiąt
seksen bir	osiemdziesiąt jeden
seksen iki	osiemdziesiąt dwa
seksen üç	osiemdziesiąt trzy
doksan	dziewięćdziesiąt
doksan bir	dziewięćdziesiąt jeden
doksan iki	dziewięćdziesiąt dwa
doksan üç	dziewięćdziesiąt trzy
